step,sim_time,sim_time_str,drain_count
216,169114.5,46:58,110
217,169114.5,46:58,110
218,169114.5,46:58,110
219,169114.5,46:58,110
220,169114.5,46:58,110
221,169114.5,46:58,110
222,169114.5,46:58,110
223,169114.5,46:58,110
224,169114.5,46:58,110
225,169114.5,46:58,110
226,169114.5,46:58,110
227,169114.5,46:58,110
228,169114.5,46:58,110
229,169114.5,46:58,110
230,169114.5,46:58,110
231,169114.5,46:58,110
232,169114.5,46:58,110
233,169114.5,46:58,110
234,169114.5,46:58,110
235,169114.5,46:58,110
236,169114.5,46:58,110
237,169114.5,46:58,110
238,169114.5,46:58,110
239,169114.5,46:58,110
240,169114.5,46:58,110
241,169114.5,46:58,110
242,169114.5,46:58,110
243,169114.5,46:58,110
244,169114.5,46:58,110
245,169114.5,46:58,110
246,169114.5,46:58,110
247,169114.5,46:58,110
248,169114.5,46:58,110
249,169114.5,46:58,110
250,169114.5,46:58,110
251,169114.5,46:58,110
252,169114.5,46:58,110
253,198965.25,55:16,120
254,198965.25,55:16,120
255,198965.25,55:16,120
256,198965.25,55:16,120
257,198965.25,55:16,120
258,198965.25,55:16,120
259,198965.25,55:16,120
260,198965.25,55:16,120
261,198965.25,55:16,120
262,198965.25,55:16,120
263,198965.25,55:16,120
264,198965.25,55:16,120
265,198965.25,55:16,120
266,198965.25,55:16,120
267,198965.25,55:16,120
268,198965.25,55:16,120
269,198965.25,55:16,120
270,198965.25,55:16,120
271,198965.25,55:16,120
272,198965.25,55:16,120
273,198965.25,55:16,120
274,198965.25,55:16,120
275,216249.0,60:04,130
276,216249.0,60:04,130
277,216249.0,60:04,130
278,216249.0,60:04,130
279,216249.0,60:04,130
280,216249.0,60:04,130
281,216249.0,60:04,130
282,216249.0,60:04,130
283,216249.0,60:04,130
284,216249.0,60:04,130
285,216249.0,60:04,130
286,216249.0,60:04,130
287,216249.0,60:04,130
288,216249.0,60:04,130
289,227250.75,63:07,140
290,227250.75,63:07,140
291,227250.75,63:07,140
292,227250.75,63:07,140
293,227250.75,63:07,140
294,227250.75,63:07,140
295,227250.75,63:07,140
296,227250.75,63:07,140
297,227250.75,63:07,140
298,227250.75,63:07,140
299,227250.75,63:07,140
300,227250.75,63:07,140
301,227250.75,63:07,140
302,227250.75,63:07,140
303,227250.75,63:07,140
304,227250.75,63:07,140
305,227250.75,63:07,140
306,227250.75,63:07,140
307,227250.75,63:07,140
308,227250.75,63:07,140
309,227250.75,63:07,140
310,227250.75,63:07,140
311,227250.75,63:07,140
312,227250.75,63:07,140
313,227250.75,63:07,140
314,227250.75,63:07,140
315,227250.75,63:07,140
316,227250.75,63:07,140
317,227250.75,63:07,140
318,227250.75,63:07,140
319,227250.75,63:07,140
320,227250.75,63:07,140
321,227250.75,63:07,140
322,227250.75,63:07,140
323,227250.75,63:07,140
324,227250.75,63:07,140
325,255533.25,70:58,150
326,255533.25,70:58,150
327,255533.25,70:58,150
328,255533.25,70:58,150
329,255533.25,70:58,150
330,255533.25,70:58,150
331,255533.25,70:58,150
332,255533.25,70:58,150
333,255533.25,70:58,150
334,255533.25,70:58,150
335,255533.25,70:58,150
336,255533.25,70:58,150
337,255533.25,70:58,150
338,255533.25,70:58,150
339,255533.25,70:58,150
340,267305.25,74:15,160
341,267305.25,74:15,160
342,267305.25,74:15,160
343,267305.25,74:15,160
344,267305.25,74:15,160
345,267305.25,74:15,160
346,272016.0,75:33,170
