State,Action_0,Action_1,Action_2
131,437.08182984917073,-0.7835095891355881,-0.016348685821571646
132,-1.6835169538910928,0.08517091189924453,439.2258075947549
133,-0.6475434712013186,441.2407716856033,-0.06785571691382748
134,430.964286416333,2.9428002635180266,-0.10633936241095635
135,-0.19813781,-0.19813781,-0.1
136,0.182,0.4000596536732913,-0.18999600373739015
137,-0.1307,-0.6241865878417394,0.7154699664820163
138,0.4000596536732913,0.182,-0.18999600373739015
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,-0.6241865878417394,-0.1307,0.7154699664820163
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,386.8675386888446,386.8675386888446,-0.270834078871
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,399.25446601625276,-0.8211852114049389,-0.25650343
154,429.43750701733586,-1.3915268174337938,-0.49198438555659085
155,455.59567916048985,-1.8416546466119454,-0.2017
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.008910000000000001,396.9740813148082,-0.27001990000000003
163,0.0,411.51842490193957,-0.271
164,0.0,464.5959225555998,-0.9834248071
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,398.8396503305528,-0.6840001976211343,-0.23507664319
172,414.7006619080917,-0.7892414882215989,-0.16279308909999998
173,438.6033084461623,-1.918229946182027,-0.2680597
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,-0.8211852114049389,399.25446601625276,-0.25650343
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,-1.3915268174337938,429.43750701733586,-0.49198438555659085
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,-1.8416546466119454,455.59567916048985,-0.2017
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,-0.08020000000000001
190,-0.1505,0.0,-0.271
191,0.0,-0.35148429897398625,-0.09010000000000001
192,0.0,-0.1505,-0.271
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,-0.35148429897398625,0.0,-0.09010000000000001
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,-0.5926672103550154,402.1579863599295,-0.232459206109687
199,-0.7075759955271647,412.78682507360713,-0.14544055018937385
200,420.58990976147953,2.1979007000000004,-0.30703702025949065
201,-0.8778696049687964,432.65440093187436,-0.093747999844
202,-1.5994194634159953,435.18714275632095,-0.193228174
203,-0.40549997041691,439.8617241590488,-0.899703542174084
