step,sim_time,sim_time_str,drain_count
0,0.0,00:00,0
1,0.0,00:00,0
2,0.0,00:00,0
3,0.0,00:00,0
4,0.0,00:00,0
5,0.0,00:00,0
6,0.0,00:00,0
7,0.0,00:00,0
8,0.0,00:00,0
9,0.0,00:00,0
10,0.0,00:00,0
11,0.0,00:00,0
12,0.0,00:00,0
13,0.0,00:00,0
14,0.0,00:00,0
15,0.0,00:00,0
16,0.0,00:00,0
17,0.0,00:00,0
18,0.0,00:00,0
19,0.0,00:00,0
20,0.0,00:00,0
21,0.0,00:00,0
22,0.0,00:00,0
23,0.0,00:00,0
24,0.0,00:00,0
25,0.0,00:00,0
26,0.0,00:00,0
27,0.0,00:00,0
28,0.0,00:00,0
29,0.0,00:00,0
30,0.0,00:00,0
31,0.0,00:00,0
32,0.0,00:00,0
33,0.0,00:00,0
34,26934.75,07:28,10
35,26934.75,07:28,10
36,26934.75,07:28,10
37,26934.75,07:28,10
38,26934.75,07:28,10
39,26934.75,07:28,10
40,26934.75,07:28,10
41,26934.75,07:28,10
42,26934.75,07:28,10
43,26934.75,07:28,10
44,26934.75,07:28,10
45,26934.75,07:28,10
46,26934.75,07:28,10
47,26934.75,07:28,10
48,26934.75,07:28,10
49,26934.75,07:28,10
50,26934.75,07:28,10
51,26934.75,07:28,10
52,41073.0,11:24,20
53,41073.0,11:24,20
54,41073.0,11:24,20
55,41073.0,11:24,20
56,44218.5,12:16,30
57,44218.5,12:16,30
58,44218.5,12:16,30
59,44218.5,12:16,30
60,44218.5,12:16,30
61,44218.5,12:16,30
62,44218.5,12:16,30
63,44218.5,12:16,30
64,44218.5,12:16,30
65,44218.5,12:16,30
66,44218.5,12:16,30
67,44218.5,12:16,30
68,44218.5,12:16,30
69,44218.5,12:16,30
70,44218.5,12:16,30
71,44218.5,12:16,30
72,44218.5,12:16,30
73,57608.25,16:00,40
74,57608.25,16:00,40
75,57608.25,16:00,40
76,57608.25,16:00,40
77,57608.25,16:00,40
78,57608.25,16:00,40
79,57608.25,16:00,40
80,57608.25,16:00,40
81,57608.25,16:00,40
82,57608.25,16:00,40
83,57608.25,16:00,40
84,57608.25,16:00,40
85,57608.25,16:00,40
86,57608.25,16:00,40
87,57608.25,16:00,40
88,57608.25,16:00,40
89,57608.25,16:00,40
90,57608.25,16:00,40
91,57608.25,16:00,40
92,57608.25,16:00,40
93,57608.25,16:00,40
94,57608.25,16:00,40
95,57608.25,16:00,40
96,57608.25,16:00,40
97,57608.25,16:00,40
98,57608.25,16:00,40
99,57608.25,16:00,40
100,57608.25,16:00,40
101,57608.25,16:00,40
102,57608.25,16:00,40
103,57608.25,16:00,40
104,57608.25,16:00,40
105,57608.25,16:00,40
106,57608.25,16:00,40
107,57608.25,16:00,40
108,57608.25,16:00,40
109,57608.25,16:00,40
110,57608.25,16:00,40
111,57608.25,16:00,40
112,57608.25,16:00,40
113,57608.25,16:00,40
114,57608.25,16:00,40
115,57608.25,16:00,40
116,57608.25,16:00,40
