step,sim_time,sim_time_str,drain_count
0,0.0,00:00,0
1,0.0,00:00,0
2,0.0,00:00,0
3,0.0,00:00,0
4,0.0,00:00,0
5,0.0,00:00,0
6,0.0,00:00,0
7,0.0,00:00,0
8,0.0,00:00,0
9,0.0,00:00,0
10,0.0,00:00,0
11,0.0,00:00,0
12,0.0,00:00,0
13,0.0,00:00,0
14,0.0,00:00,0
15,0.0,00:00,0
16,0.0,00:00,0
17,0.0,00:00,0
18,0.0,00:00,0
19,0.0,00:00,0
20,0.0,00:00,0
21,0.0,00:00,0
22,0.0,00:00,0
23,0.0,00:00,0
24,0.0,00:00,0
25,0.0,00:00,0
26,0.0,00:00,0
27,0.0,00:00,0
28,0.0,00:00,0
29,0.0,00:00,0
30,0.0,00:00,0
31,0.0,00:00,0
32,0.0,00:00,0
33,0.0,00:00,0
34,0.0,00:00,0
35,0.0,00:00,0
36,0.0,00:00,0
37,0.0,00:00,0
38,748.3631762984174,12:28,10
39,748.3631762984174,12:28,10
40,748.3631762984174,12:28,10
41,748.3631762984174,12:28,10
42,748.3631762984174,12:28,10
43,748.3631762984174,12:28,10
44,748.3631762984174,12:28,10
45,748.3631762984174,12:28,10
46,748.3631762984174,12:28,10
47,748.3631762984174,12:28,10
48,748.3631762984174,12:28,10
49,748.3631762984174,12:28,10
50,748.3631762984174,12:28,10
51,748.3631762984174,12:28,10
52,748.3631762984174,12:28,10
53,748.3631762984174,12:28,10
54,1077.6906848279305,17:58,20
55,1077.6906848279305,17:58,20
56,1077.6906848279305,17:58,20
57,1077.6906848279305,17:58,20
58,1158.6761865338335,19:19,30
59,1158.6761865338335,19:19,30
60,1158.6761865338335,19:19,30
61,1158.6761865338335,19:19,30
62,1158.6761865338335,19:19,30
63,1158.6761865338335,19:19,30
64,1158.6761865338335,19:19,30
65,1158.6761865338335,19:19,30
66,1158.6761865338335,19:19,30
67,1158.6761865338335,19:19,30
68,1158.6761865338335,19:19,30
69,1158.6761865338335,19:19,30
70,1158.6761865338335,19:19,30
71,1158.6761865338335,19:19,30
72,1158.6761865338335,19:19,30
73,1158.6761865338335,19:19,30
74,1158.6761865338335,19:19,30
75,1158.6761865338335,19:19,30
76,1158.6761865338335,19:19,30
77,1158.6761865338335,19:19,30
78,1158.6761865338335,19:19,30
79,1158.6761865338335,19:19,30
80,1158.6761865338335,19:19,30
81,1158.6761865338335,19:19,30
82,1158.6761865338335,19:19,30
83,1158.6761865338335,19:19,30
84,1158.6761865338335,19:19,30
85,1158.6761865338335,19:19,30
86,1158.6761865338335,19:19,30
87,1158.6761865338335,19:19,30
88,1158.6761865338335,19:19,30
89,1158.6761865338335,19:19,30
90,1158.6761865338335,19:19,30
91,1158.6761865338335,19:19,30
92,1158.6761865338335,19:19,30
93,1158.6761865338335,19:19,30
94,1158.6761865338335,19:19,30
95,1158.6761865338335,19:19,30
96,1158.6761865338335,19:19,30
97,1158.6761865338335,19:19,30
98,1914.3137291814046,31:54,40
99,1914.3137291814046,31:54,40
