episode,steps_needed
1,3000
2,3000
3,3000
4,3000
5,3000
6,3000
7,3000
8,3000
9,3000
10,3000
11,2036
12,3000
13,2014
14,3000
15,2012
16,2003
17,2040
18,3000
19,3000
20,3000
21,2048
22,2022
23,3000
24,3000
25,1994
26,2013
27,3000
28,2008
29,3000
30,2018
31,3000
32,2025
33,3000
34,3000
35,3000
36,3000
37,3000
38,2051
39,3000
40,3000
