State,Action_0,Action_1,Action_2
0,0.0,584.494673572129,-0.270921405781
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,592.2668459737906,-0.2643512554797765
10,-0.34493760900000003,624.011341361705,-0.17293913621531293
11,0.022091724536219066,644.2823812105597,-0.16539003146634015
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,509.5138773843714,-0.80264246349,-0.20406549736522
19,534.2709498287755,-1.2273759081209084,-0.5877719010539211
20,573.752639246458,-1.7565159440000553,-0.152497
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,539.5756255232627,-0.5314863745473513,-0.271
28,568.2826900403498,-1.3523721830948316,-0.2314
29,0.0,-1.0289226103024225,606.3414123119984
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,517.3582635815001,0.061113690000000005,-0.25200443430096336
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,520.8135621669926,0.0,-0.271
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,586.9849768201693,0.0099,-0.13742128
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.36100000000000004,0.34120000000000006,-0.19
46,0.0,-0.1,0.0
47,0.0,0.8297000000000001,-0.1
48,2.5094510202577984,0.13337768708837283,-0.3874092580309404
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.37991,-0.09010000000000001
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,517.517359989145,-0.6229546263199001,-0.14584547007100002
55,543.7992181460385,-1.4498241242300227,-0.5041413317304073
56,577.8774439628122,-2.040227926998333,-0.2152989568
57,539.2777818809099,-0.8495400000000001,-0.05017060000000004
58,544.8397404117876,-0.856313930963219,-0.04488198039999998
59,587.4890308866629,-2.0558648492898817,-0.061763202999999975
60,575.6874645632761,-0.6907232972359101,-0.19504003445919998
61,2.1412491224600725,543.9584592279547,0.25151464046768524
62,580.6845243413871,1.4246862474679387,-0.20117325469503505
63,546.0261819215378,-0.69539070359,-0.5311
64,579.307381202751,-1.6541015352991788,-0.018277304499999994
65,594.9672876850688,-1.9354363008468622,2.266811342976031
66,569.1601606909869,-0.741,-0.1346040964
67,596.3062052356064,-1.1211096443779212,-0.032478377062599983
68,599.8139229649088,-0.33421719242342945,0.4619125296196817
69,607.6750901455956,-0.41755217950290135,-0.14311921101328
70,637.6092293771758,-1.091909173999519,-0.237692758384
71,642.1667208324714,1.4403863890220592,0.1515275153000001
72,-0.8213529075969,594.0819915516743,-0.20576602900000002
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,-1.2773309985974728,616.4394090389103,-0.047810284674761006
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,-1.7936589104985283,636.321216462319,-0.25535848609
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,-0.68500507110662,605.3144118114768,-0.6100851994776236
82,-0.6797318530227714,625.4354354837616,-0.24416209
83,-0.8104419390000001,659.5747823766109,-0.05178524050000001
84,-1.314205617903181,625.7888883572061,-0.11174960428418264
85,-1.3629093050012937,644.9720480566358,-0.2760362849272784
86,-0.9904618771433549,669.2263458461464,-0.3988109717389854
87,-1.9376723254549637,641.7294262136247,-0.03384351999999999
88,-1.5619670617822208,669.1788522722487,-0.4033717787835487
89,-0.29601340434205115,690.0604715953004,0.2588851445732995
90,10.045825352744032,-0.46410038144983645,-0.5648085784326498
91,-0.280240076,0.0,-0.1
92,-0.1873412768561272,-0.44281601102908497,0.0
93,-0.9828368873008251,0.0,-0.0604
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,-0.7127534752445345,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,-0.9425500555407825,-0.887450820856122,567.1018963315738
100,-0.8956339154050001,-1.0137054174674052,592.9482460556507
101,618.6538967729392,-1.0092870929429865,-0.4618
102,-1.434837662963063,-0.19098060720992632,592.0053523117308
103,-1.43515440545,-0.36439045043251894,604.023491275234
104,604.5010729728853,-1.5190482656948916,-0.017744103642943355
105,-1.9170240283305717,-0.41575563486392,617.7801495148008
106,-2.016055115646021,616.7919532480253,0.04008157144776905
107,4.329466536247791,613.5316334413241,7.871249788784236
108,-0.918847950267289,590.037077225584,-0.24230881
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,-1.2753631278623367,619.3812043551566,-0.19019521
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,-1.7475736330953007,648.7769547414413,-0.271
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,-0.4654683510556159,602.0551014452711,-0.29234529509873114
118,-0.5366084699,621.1218431797631,-0.1918396
119,-0.7556960802150795,642.5131339318402,-0.5446463440082481
120,-1.3804976317767428,623.7520662449901,-0.271
121,-1.1940993732944798,646.2705866922939,-0.2165995
122,1.1477774735220576,665.2268887884712,-0.13833478270000002
123,-1.6545094448341615,655.5893476534317,-0.23898637000000003
124,-1.8602471657534698,678.9247355282789,-0.15876964000000002
125,4.673144320980707,700.2410497388177,-0.30894441309622994
126,-0.7635892697184228,-0.9166954641346496,553.027048234921
127,-0.9910597000000001,-1.1813012375322793,575.9898671102972
128,598.2406248581575,-1.5804636610826335,-0.14119219
